,ticker,exchange,icb2,industry_name,industry_perform,fullname_industry,signal,marketcap_group
186,AMV,HNX,Y tế,y_te,hsD,Y tế,,penny
187,LTG,UPCOM,Hóa chất,hoa_chat,hsB,Hoá chất,,small
188,FPT,HSX,Công nghệ,cong_nghe,hsC,Công nghệ,x,large
189,PGN,HNX,Hóa chất,hoa_chat,hsB,Hoá chất,,penny
190,VGT,UPCOM,Hàng tiêu dùng,det_may,hsB,Dệt may,,mid
191,HVN,HSX,Du lịch và DV,dulich_dv,hsD,Du lịch và DV,,large
192,TIS,UPCOM,Tài nguyên cơ bản,thep,hsA,Thép,,small
193,OIL,UPCOM,Dầu khí,dau_khi,hsB,Dầu khí,x,mid
194,VIP,HSX,Công nghiệp,van_tai,hsC,Vận tải,,small
195,TVS,HSX,Dịch vụ tài chính,chung_khoan,hsA,Chứng khoán,,small
196,PHR,HSX,Hóa chất,hoa_chat,hsB,Hoá chất,,mid
197,DTD,HNX,Xây dựng,bds_kcn,hsC,BĐS KCN,,small
198,BCM,HSX,Bất động sản,bds_kcn,hsC,BĐS KCN,,large
199,DCL,HSX,Y tế,y_te,hsD,Y tế,,small
200,TNH,HSX,Y tế,y_te,hsD,Y tế,,small
201,DGW,HSX,Bán lẻ,ban_le,hsA,Bán lẻ,x,mid
202,VIG,HNX,Dịch vụ tài chính,chung_khoan,hsA,Chứng khoán,,penny
203,NO1,HSX,Xây dựng,xd,hsA,Xây dựng,,penny
204,CTG,HSX,Ngân hàng,ngan_hang,hsC,Ngân hàng,x,large
205,MBS,HNX,Dịch vụ tài chính,chung_khoan,hsA,Chứng khoán,x,mid
206,FOX,UPCOM,Viễn thông,cong_nghe,hsC,Công nghệ,x,mid
207,TDC,HSX,Bất động sản,bds,hsA,Bất động sản,,small
208,DC4,HSX,Xây dựng,xd,hsA,Xây dựng,,small
209,NLG,HSX,Bất động sản,bds,hsA,Bất động sản,,mid
210,HAH,HSX,Công nghiệp,van_tai,hsC,Vận tải,x,small
211,HIO,UPCOM,DV hạ tầng,dv_hatang,hsD,DV hạ tầng,,penny
212,KVC,UPCOM,Tài nguyên cơ bản,thep,hsA,Thép,,penny
213,VPB,HSX,Ngân hàng,ngan_hang,hsC,Ngân hàng,x,large
214,GAS,HSX,DV hạ tầng,dv_hatang,hsD,DV hạ tầng,,large
215,MCO,HNX,Xây dựng,xd,hsA,Xây dựng,,penny
216,TPB,HSX,Ngân hàng,ngan_hang,hsC,Ngân hàng,x,mid
217,TCD,HSX,Công nghiệp,cong_nghiep,hsB,Công nghiệp,,small
218,QTP,UPCOM,DV hạ tầng,dv_hatang,hsD,DV hạ tầng,,mid
219,IJC,HSX,Bất động sản,bds,hsA,Bất động sản,,small
220,HHS,HSX,Linh kiện ôtô,bds,hsA,Bất động sản,x,small
221,ABS,HSX,Hóa chất,hoa_chat,hsB,Hoá chất,,penny
222,YEG,HSX,Du lịch và DV,dulich_dv,hsD,Du lịch và DV,,small
223,PDR,HSX,Bất động sản,bds,hsA,Bất động sản,x,mid
224,PVC,HNX,Dầu khí,dau_khi,hsB,Dầu khí,x,small
225,BWE,HSX,DV hạ tầng,dv_hatang,hsD,DV hạ tầng,,mid
226,PTB,HSX,Xây dựng,xd,hsA,Xây dựng,,small
227,SHS,HNX,Dịch vụ tài chính,chung_khoan,hsA,Chứng khoán,x,mid
228,HTN,HSX,Xây dựng,xd,hsA,Xây dựng,,small
229,VPG,HSX,Tài nguyên cơ bản,khoang_san,hsB,Khoáng sản,,small
230,BSR,UPCOM,Dầu khí,dau_khi,hsB,Dầu khí,x,large
231,BID,HSX,Ngân hàng,ngan_hang,hsC,Ngân hàng,,large
232,LAS,HNX,Hóa chất,hoa_chat,hsB,Hoá chất,x,small
233,TRC,HSX,Hóa chất,hoa_chat,hsB,Hoá chất,,small
234,BCG,HSX,Dịch vụ tài chính,tai_chinh,hsA,Công ty tài chính,,small
235,PLC,HNX,Hóa chất,hoa_chat,hsB,Hoá chất,x,small
236,MST,HNX,Xây dựng,xd,hsA,Xây dựng,,penny
237,BCR,UPCOM,Bất động sản,bds,hsA,Bất động sản,,small
238,HPG,HSX,Tài nguyên cơ bản,thep,hsA,Thép,,large
239,MSH,HSX,Hàng tiêu dùng,det_may,hsB,Dệt may,,small
240,VOS,HSX,Công nghiệp,van_tai,hsC,Vận tải,x,small
241,AAH,UPCOM,Tài nguyên cơ bản,khoang_san,hsB,Khoáng sản,,penny
242,DPG,HSX,Xây dựng,xd,hsA,Xây dựng,x,small
243,DSE,HSX,Dịch vụ tài chính,chung_khoan,hsA,Chứng khoán,,mid
244,NAB,UPCOM,Ngân hàng,ngan_hang,hsC,Ngân hàng,x,mid
245,FTS,HSX,Dịch vụ tài chính,chung_khoan,hsA,Chứng khoán,x,mid
246,QNS,UPCOM,Thực phẩm,thuc_pham,hsC,Thực phẩm,,mid
247,ANV,HSX,Thực phẩm,thuy_san,hsB,Thuỷ sản,x,small
248,S99,HNX,Xây dựng,xd,hsA,Xây dựng,,small
249,DHT,HNX,Y tế,y_te,hsD,Y tế,,mid
250,TCI,UPCOM,Dịch vụ tài chính,chung_khoan,hsA,Chứng khoán,,small
251,HVH,HSX,Xây dựng,xd,hsA,Xây dựng,x,penny
252,VCS,HNX,Xây dựng,xd,hsA,Xây dựng,,mid
253,SBT,HSX,Thực phẩm,thuc_pham,hsC,Thực phẩm,x,mid
254,ORS,HSX,Dịch vụ tài chính,chung_khoan,hsA,Chứng khoán,x,small
255,FIR,HSX,Bất động sản,bds,hsA,Bất động sản,,penny
256,PC1,HSX,Xây dựng,xd,hsA,Xây dựng,,mid
257,PPC,HSX,DV hạ tầng,dv_hatang,hsD,DV hạ tầng,,small
258,DHC,HSX,Tài nguyên cơ bản,khoang_san,hsB,Khoáng sản,,small
259,TLG,HSX,Hàng tiêu dùng,htd,hsC,Hàng tiêu dùng,,small
260,PNJ,HSX,Hàng tiêu dùng,htd,hsC,Hàng tiêu dùng,,mid
261,TIP,HSX,Bất động sản,bds_kcn,hsC,BĐS KCN,,small
262,KOS,HSX,Bất động sản,bds_kcn,hsC,BĐS KCN,,mid
263,AAV,HNX,Bất động sản,bds,hsA,Bất động sản,,penny
264,NTP,HNX,Hóa chất,hoa_chat,hsB,Hoá chất,,mid
265,VCI,HSX,Dịch vụ tài chính,chung_khoan,hsA,Chứng khoán,x,mid
266,ITC,HSX,Bất động sản,bds,hsA,Bất động sản,,small
267,PCH,HNX,Hóa chất,hoa_chat,hsB,Hoá chất,,penny
268,C69,HNX,Xây dựng,xd,hsA,Xây dựng,,penny
269,GSP,HSX,Công nghiệp,van_tai,hsC,Vận tải,,small
270,CTD,HSX,Xây dựng,xd,hsA,Xây dựng,,mid
271,AMS,UPCOM,Xây dựng,xd,hsA,Xây dựng,,penny
272,HAX,HSX,Linh kiện ôtô,htd,hsC,Hàng tiêu dùng,,small
273,MBB,HSX,Ngân hàng,ngan_hang,hsC,Ngân hàng,,large
274,VIX,HSX,Dịch vụ tài chính,chung_khoan,hsA,Chứng khoán,x,mid
275,GEX,HSX,Công nghiệp,cong_nghiep,hsB,Công nghiệp,x,mid
276,ABW,UPCOM,Dịch vụ tài chính,chung_khoan,hsA,Chứng khoán,,small
277,CDC,HSX,Xây dựng,xd,hsA,Xây dựng,,penny
278,IVS,HNX,Dịch vụ tài chính,chung_khoan,hsA,Chứng khoán,,small
279,VFS,HNX,Dịch vụ tài chính,chung_khoan,hsA,Chứng khoán,,small
280,VAB,UPCOM,Ngân hàng,ngan_hang,hsC,Ngân hàng,,small
281,LPB,HSX,Ngân hàng,ngan_hang,hsC,Ngân hàng,x,large
282,HAG,HSX,Thực phẩm,thuc_pham,hsC,Thực phẩm,,mid
283,ACB,HSX,Ngân hàng,ngan_hang,hsC,Ngân hàng,x,large
284,VHM,HSX,Bất động sản,bds,hsA,Bất động sản,,large
285,SGP,UPCOM,Công nghiệp,cong_nghiep,hsB,Công nghiệp,x,small
286,SSB,HSX,Ngân hàng,ngan_hang,hsC,Ngân hàng,,mid
287,EVF,HSX,Ngân hàng,tai_chinh,hsA,Công ty tài chính,,small
288,EVS,HNX,Dịch vụ tài chính,chung_khoan,hsA,Chứng khoán,,small
289,NVL,HSX,Bất động sản,bds,hsA,Bất động sản,x,mid
290,PSB,UPCOM,Xây dựng,xd,hsA,Xây dựng,,penny
291,NAG,HNX,Xây dựng,xd,hsA,Xây dựng,,penny
292,LSS,HSX,Thực phẩm,thuc_pham,hsC,Thực phẩm,x,small
293,KHG,HSX,Bất động sản,bds,hsA,Bất động sản,,small
294,CEO,HNX,Bất động sản,bds,hsA,Bất động sản,x,mid
295,DXP,HNX,Công nghiệp,van_tai,hsC,Vận tải,,small
296,BNA,HNX,Thực phẩm,thuc_pham,hsC,Thực phẩm,,penny
297,NVB,HNX,Ngân hàng,ngan_hang,hsC,Ngân hàng,,small
298,DDG,HNX,Công nghiệp,cong_nghiep,hsB,Công nghiệp,,penny
299,SBS,UPCOM,Dịch vụ tài chính,chung_khoan,hsA,Chứng khoán,,small
300,KSB,HSX,Tài nguyên cơ bản,khoang_san,hsB,Khoáng sản,,small
301,NTL,HSX,Bất động sản,bds,hsA,Bất động sản,,small
302,CIG,HSX,Bất động sản,bds,hsA,Bất động sản,,penny
303,REE,HSX,Công nghiệp,cong_nghiep,hsB,Công nghiệp,x,mid
304,VIB,HSX,Ngân hàng,ngan_hang,hsC,Ngân hàng,x,mid
305,HCD,HSX,Hóa chất,hoa_chat,hsB,Hoá chất,x,penny
306,SCR,HSX,Bất động sản,bds,hsA,Bất động sản,x,small
307,KHP,HSX,DV hạ tầng,dv_hatang,hsD,DV hạ tầng,,small
308,HNM,UPCOM,Thực phẩm,thuc_pham,hsC,Thực phẩm,,penny
309,APG,HSX,Dịch vụ tài chính,chung_khoan,hsA,Chứng khoán,,small
310,TSC,HSX,Hóa chất,hoa_chat,hsB,Hoá chất,,penny
311,HHV,HSX,Công nghiệp,xd,hsA,Xây dựng,,small
312,APH,HSX,Hóa chất,hoa_chat,hsB,Hoá chất,,small
313,VEA,UPCOM,Công nghiệp,cong_nghiep,hsB,Công nghiệp,x,mid
314,BMI,HSX,Bảo hiểm,bao_hiem,hsD,Bảo hiểm,,small
315,VSC,HSX,Công nghiệp,van_tai,hsC,Vận tải,,small
316,VPI,HSX,Bất động sản,bds,hsA,Bất động sản,,mid
317,NAF,HSX,Thực phẩm,thuc_pham,hsC,Thực phẩm,,small
318,MSB,HSX,Ngân hàng,ngan_hang,hsC,Ngân hàng,x,mid
319,CSM,HSX,Linh kiện ôtô,hoa_chat,hsB,Hoá chất,,small
320,ICT,HSX,Công nghệ,cong_nghe,hsC,Công nghệ,,penny
321,QCG,HSX,Bất động sản,bds,hsA,Bất động sản,,small
322,VCB,HSX,Ngân hàng,ngan_hang,hsC,Ngân hàng,,large
323,IPA,HNX,Dịch vụ tài chính,tai_chinh,hsA,Công ty tài chính,,small
324,L14,HNX,Xây dựng,bds,hsA,Bất động sản,x,small
325,AGR,HSX,Dịch vụ tài chính,chung_khoan,hsA,Chứng khoán,x,small
326,MZG,UPCOM,Tài nguyên cơ bản,khoang_san,hsB,Khoáng sản,,small
327,CTR,HSX,Viễn thông,xd,hsA,Xây dựng,x,mid
328,BVS,HNX,Dịch vụ tài chính,chung_khoan,hsA,Chứng khoán,x,small
329,TNG,HNX,Hàng tiêu dùng,det_may,hsB,Dệt may,,small
330,DXS,HSX,Bất động sản,bds,hsA,Bất động sản,,small
331,BVH,HSX,Bảo hiểm,bao_hiem,hsD,Bảo hiểm,,mid
